sampleID_STPN2309	sampleID_hPTMs_liver	sampleID_progentomics_proteome_liver	trout_liver_batch	SampleID_mucus_microbiota_PGTB	SampleID_digesta_microbiota_PGTB	sampleID_proteomics_gut	gut_proteome_batch	sampleID_hPTMs_gut	gut_hptms_run_date	gut_hptm_batch	sampleID_acid_extractome_gut	sample_type	diet	day_cont	day_categ	rearing_tank	group	phase	diet_phase
S_093	X260220_TroutLiver_Histones_174	260220_TroutLiver_Proteome_174	F	MicrobE_253_M_P3	MicrobE_34_D_P1	240906_Diluted_TroutGutProteome_117	D	X240816_TroutGutHistones_117	240816	D	X240816_TroutGutHistones_117.mzML	mid_gut	NC	2	day_02	J6	NC_day_02	early	NC_early
S_095	X260220_TroutLiver_Histones_054	260220_TroutLiver_Proteome_054	B	MicrobE_233_M_P3	MicrobE_58_D_P1	240906_Diluted_TroutGutProteome_032	B	X240816_TroutGutHistones_032	240816	B	X240816_TroutGutHistones_032.mzML	mid_gut	NC	2	day_02	J6	NC_day_02	early	NC_early
S_097	X260220_TroutLiver_Histones_134	260220_TroutLiver_Proteome_134	E	MicrobE_349_M_P4	MicrobE_39_D_P1	240906_Diluted_TroutGutProteome_020	A	X240816_TroutGutHistones_020	240816	A	X240816_TroutGutHistones_020.mzML	mid_gut	HC	2	day_02	K1	HC_day_02	early	HC_early
S_099	X260220_TroutLiver_Histones_029	260220_TroutLiver_Proteome_029	A	MicrobE_270_M_P3	MicrobE_96_D_P2	240906_Diluted_TroutGutProteome_048	B	X240712_TroutGutHistones_048	240712	B	X240712_TroutGutHistones_048.mzML	mid_gut	HC	2	day_02	K1	HC_day_02	early	HC_early
S_101	X260220_TroutLiver_Histones_090	260220_TroutLiver_Proteome_090	D	MicrobE_208_M_P3	MicrobE_16_D_P1	240906_Diluted_TroutGutProteome_110	D	X240816_TroutGutHistones_110	240816	D	X240816_TroutGutHistones_110.mzML	mid_gut	HC	2	day_02	K1	HC_day_02	early	HC_early
S_103	X260220_TroutLiver_Histones_101	260220_TroutLiver_Proteome_101	D	MicrobE_328_M_P4	MicrobE_135_D_P2	240906_Diluted_TroutGutProteome_050	B	X240816_TroutGutHistones_050	240816	B	X240816_TroutGutHistones_050.mzML	mid_gut	HC	2	day_02	K1	HC_day_02	early	HC_early
S_105	X260220_TroutLiver_Histones_087	260220_TroutLiver_Proteome_087	C	MicrobE_312_M_P4	MicrobE_149_D_P2	240906_Diluted_TroutGutProteome_153	F	X240816_TroutGutHistones_153	240816	F	X240816_TroutGutHistones_153.mzML	mid_gut	NC	2	day_02	K2	NC_day_02	early	NC_early
S_107	X260220_TroutLiver_Histones_156	260220_TroutLiver_Proteome_156	F	MicrobE_296_M_P4	MicrobE_113_D_P2	240906_Diluted_TroutGutProteome_118	D	X240816_TroutGutHistones_118	240816	D	X240816_TroutGutHistones_118.mzML	mid_gut	NC	2	day_02	K2	NC_day_02	early	NC_early
S_109	X260220_TroutLiver_Histones_164	260220_TroutLiver_Proteome_164	F	MicrobE_226_M_P3	MicrobE_178_D_P2	240906_Diluted_TroutGutProteome_041	B	X240816_TroutGutHistones_041	240816	B	X240816_TroutGutHistones_041.mzML	mid_gut	NC	2	day_02	K2	NC_day_02	early	NC_early
S_111	X260220_TroutLiver_Histones_012	260220_TroutLiver_Proteome_012	A	MicrobE_260_M_P3	MicrobE_40_D_P1	240906_Diluted_TroutGutProteome_127	E	X240816_TroutGutHistones_127	240816	E	X240816_TroutGutHistones_127.mzML	mid_gut	NC	2	day_02	K2	NC_day_02	early	NC_early
S_113	X260220_TroutLiver_Histones_163	260220_TroutLiver_Proteome_163	F	MicrobE_182_M_P3	MicrobE_41_D_P1	240906_Diluted_TroutGutProteome_119	D	X240816_TroutGutHistones_119	240816	D	X240816_TroutGutHistones_119.mzML	mid_gut	HC	2	day_02	K3	HC_day_02	early	HC_early
S_115	X260220_TroutLiver_Histones_046	260220_TroutLiver_Proteome_046	B	MicrobE_347_M_P4	MicrobE_174_D_P2	240906_Diluted_TroutGutProteome_069	C	X240816_TroutGutHistones_069	240816	C	X240816_TroutGutHistones_069.mzML	mid_gut	HC	2	day_02	K3	HC_day_02	early	HC_early
S_117	X260220_TroutLiver_Histones_157	260220_TroutLiver_Proteome_157	F	MicrobE_305_M_P4	MicrobE_159_D_P2	240906_Diluted_TroutGutProteome_034	B	X240816_TroutGutHistones_034	240816	B	X240816_TroutGutHistones_034.mzML	mid_gut	HC	2	day_02	K3	HC_day_02	early	HC_early
S_119	X260220_TroutLiver_Histones_104	260220_TroutLiver_Proteome_104	D	MicrobE_288_M_P4	MicrobE_56_D_P1	240906_Diluted_TroutGutProteome_001	A	X240816_TroutGutHistones_001	240816	A	X240816_TroutGutHistones_001.mzML	mid_gut	HC	2	day_02	K3	HC_day_02	early	HC_early
S_121	X260220_TroutLiver_Histones_123	260220_TroutLiver_Proteome_123	E	MicrobE_278_M_P4	MicrobE_148_D_P2	240906_Diluted_TroutGutProteome_156	F	X240712_TroutGutHistones_156	240712	F	X240712_TroutGutHistones_156.mzML	mid_gut	NC	3	day_03	J4	NC_day_03	early	NC_early
S_123	X260220_TroutLiver_Histones_048	260220_TroutLiver_Proteome_048	B	MicrobE_327_M_P4	MicrobE_94_D_P1	240906_Diluted_TroutGutProteome_056	B	X240816_TroutGutHistones_056	240816	B	X240816_TroutGutHistones_056.mzML	mid_gut	NC	3	day_03	J4	NC_day_03	early	NC_early
S_125	X260220_TroutLiver_Histones_127	260220_TroutLiver_Proteome_127	E	MicrobE_350_M_P4	MicrobE_78_D_P1	240906_Diluted_TroutGutProteome_085	C	X240816_TroutGutHistones_085	240816	C	X240816_TroutGutHistones_085.mzML	mid_gut	NC	3	day_03	J4	NC_day_03	early	NC_early
S_127	X260220_TroutLiver_Histones_075	260220_TroutLiver_Proteome_075	C	MicrobE_245_M_P3	MicrobE_63_D_P1	240906_Diluted_TroutGutProteome_108	D	X240816_TroutGutHistones_108	240816	D	X240816_TroutGutHistones_108.mzML	mid_gut	NC	3	day_03	J4	NC_day_03	early	NC_early
